Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity corrected 12	Reporter intensity corrected 13	Reporter intensity corrected 14	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity 12	Reporter intensity 13	Reporter intensity 14	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Reporter intensity count 12	Reporter intensity count 13	Reporter intensity count 14	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
P10809	P10809	9	9	9	60 kDa heat shock protein, mitochondrial	HSPD1	sp|P10809|CH60_HUMAN 60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2	1	9	9	9	21.3	21.3	21.3	61.054	573	573	3.18	5	4	3	5	2	3	0	126.68	88455	94880	71069	65491	80437	47098	97496	72502	85831	59346	67322	95710	55486	52215	88455	94880	71069	65491	80437	47098	97496	72502	85831	59346	67322	95710	55486	52215	18	17	16	18	15	15	18	16	18	16	16	19	15	13	159440000	23				404	108;1808;2545;3141;4314;4495;6052;6213;6414	True;True;True;True;True;True;True;True;True	110;1845;2603;3208;4398;4584;6155;6320;6526	261;262;263;4710;4711;6560;8177;11117;11530;15403;15404;15405;15406;15407;15408;15867;15868;15869;15870;16366;16367;16368	277;278;279;280;5096;5097;7080;8834;12036;12494;16677;16678;16679;16680;16681;16682;17210;17211;17212;17213;17767;17768;17769	278;5096;7080;8834;12036;12494;16680;17213;17769	268;269	190;217	9606
P10909	P10909	10	10	10	Clusterin;Clusterin beta chain;Clusterin alpha chain	CLU	sp|P10909|CLUS_HUMAN Clusterin OS=Homo sapiens OX=9606 GN=CLU PE=1 SV=1	1	10	10	10	22.3	22.3	22.3	52.494	449	449	3.73	2	8	5	6	6	6	0	323.31	402530	262250	364810	311720	414710	279200	504810	309100	329900	119440	306450	199700	285560	448660	402530	262250	364810	311720	414710	279200	504810	309100	329900	119440	306450	199700	285560	448660	33	28	31	31	34	29	33	31	31	26	31	30	31	33	759080000	37				405	698;1818;1856;2426;3881;3882;5072;6047;6048;6682	True;True;True;True;True;True;True;True;True;True	699;1855;1893;2479;2480;3962;3963;5174;6150;6151;6797	1778;1779;4737;4738;4739;4740;4840;4841;4842;4843;6252;6253;6254;10047;10048;10049;10050;10051;10052;10053;10054;12994;12995;15393;15394;15395;15396;15397;15398;15399;17032;17033;17034	1917;1918;5124;5125;5126;5127;5128;5233;5234;5235;5236;5237;5238;6753;6754;6755;10880;10881;10882;10883;10884;10885;10886;10887;14071;14072;16667;16668;16669;16670;16671;16672;16673;18481;18482;18483;18484	1917;5128;5233;6754;10881;10886;14072;16670;16673;18482	270	431	9606
P11021	P11021	23	21	21	78 kDa glucose-regulated protein	HSPA5	sp|P11021|BIP_HUMAN Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2	1	23	21	21	41.1	40.1	40.1	72.332	654	654	3.45	8	13	12	10	10	9	0	323.31	364160	412250	291440	305870	387680	236580	722980	330020	451320	179620	286890	407800	258750	301020	364160	412250	291440	305870	387680	236580	722980	330020	451320	179620	286890	407800	258750	301020	56	53	53	51	55	48	62	52	56	41	49	55	52	49	717670000	67				406	498;1165;1872;2171;2361;3319;3339;3388;3390;3537;3542;3687;3957;4344;4479;4516;4599;5308;5660;5952;6233;6483;6736	True;True;True;True;True;True;True;False;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True	499;1177;1910;2218;2414;3388;3409;3458;3460;3607;3612;3760;4040;4428;4566;4605;4691;5415;5763;6052;6341;6596;6851	1263;1264;2933;2934;4881;4882;4883;4884;4885;4886;5618;5619;5620;5621;6081;6082;8636;8637;8638;8639;8680;8681;8682;8803;8804;8805;8806;8807;8808;8809;8810;8812;9168;9177;9178;9179;9180;9181;9526;9527;9528;10235;11189;11190;11492;11570;11571;11572;11777;11778;11779;13539;13540;13541;13542;13543;13544;14421;14422;14423;15162;15163;15917;15918;15919;15920;16526;16527;16528;16529;17159	1352;1353;3146;3147;3148;5277;5278;5279;5280;5281;5282;6087;6088;6089;6090;6091;6575;6576;9361;9362;9363;9364;9365;9406;9407;9408;9535;9536;9537;9538;9539;9540;9541;9542;9543;9545;9937;9946;9947;9948;9949;9950;10320;10321;10322;11085;12113;12114;12115;12454;12534;12535;12536;12537;12753;12754;12755;14679;14680;14681;14682;14683;14684;15617;15618;15619;16415;16416;17264;17265;17266;17267;17939;17940;17941;17942;18620	1352;3146;5281;6090;6576;9363;9408;9536;9545;9937;9948;10321;11085;12114;12454;12536;12753;14683;15618;16415;17266;17941;18620	271;272	148;332	9606
P11047;REV__Q9NQS7	P11047	5;1	5;1	5;1	Laminin subunit gamma-1	LAMC1	sp|P11047|LAMC1_HUMAN Laminin subunit gamma-1 OS=Homo sapiens OX=9606 GN=LAMC1 PE=1 SV=3	2	5	5	5	3.7	3.7	3.7	177.6	1609	1609;918	2.29	1	4	1	1			0	16.644	13871	20782	15322	19114	16903	14171	61430	17793	13951	13141	15691	12013	11993	8377.5	13871	20782	15322	19114	16903	14171	61430	17793	13951	13141	15691	12013	11993	8377.5	3	5	5	2	3	2	4	4	3	3	3	4	2	2	15850000	7				407	289;1488;4191;4708;4862	True;True;True;True;True	288;1518;4275;4800;4959	743;744;3866;10820;12068;12483;12484	796;797;4173;11720;13070;13532;13533	797;4173;11720;13070;13533			9606;9606
P11137	P11137	23	23	23	Microtubule-associated protein 2	MAP2	sp|P11137|MTAP2_HUMAN Microtubule-associated protein 2 OS=Homo sapiens OX=9606 GN=MAP2 PE=1 SV=4	1	23	23	23	15.7	15.7	15.7	199.52	1827	1827	3.23	9	13	10	5	7	8	0	320.54	342370	99517	262890	370000	278090	226890	405090	382450	378020	231340	534720	382280	504720	503240	342370	99517	262890	370000	278090	226890	405090	382450	378020	231340	534720	382280	504720	503240	48	30	43	47	43	47	47	47	48	45	50	45	49	50	952450000	55				408	1158;1191;1358;1457;2022;2315;2771;2875;3366;3764;3970;4233;5255;5330;5440;5467;5473;5739;5809;5939;6108;6175;6297	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1169;1170;1204;1377;1484;2065;2368;2832;2939;3436;3840;4053;4317;5362;5438;5544;5571;5577;5841;5909;6039;6213;6281;6406	2914;2915;2998;3506;3507;3776;5261;5262;5263;5966;5967;5968;7143;7144;7449;8750;9720;10263;10264;10913;13422;13423;13424;13425;13426;13589;13590;13869;13870;13949;13960;13961;13962;14613;14770;14771;14772;15123;15550;15551;15552;15553;15554;15555;15752;15753;16080;16081;16082;16083;16084;16085	3125;3126;3220;3783;3784;4081;5693;5694;5695;6454;6455;6456;7696;7697;8027;9479;10527;11115;11116;11824;14553;14554;14555;14556;14557;14730;14731;15027;15028;15114;15127;15128;15129;15130;15821;15985;15986;15987;16371;16835;16836;16837;16838;16839;16840;17081;17082;17083;17466;17467;17468;17469;17470;17471;17472	3126;3220;3784;4081;5695;6454;7697;8027;9479;10527;11115;11824;14556;14730;15028;15114;15127;15821;15987;16371;16839;17083;17472	273;274;275	213;269;1400	9606
P11142	P11142	25	25	15	Heat shock cognate 71 kDa protein	HSPA8	sp|P11142|HSP7C_HUMAN Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1	1	25	25	15	40.4	40.4	26.6	70.897	646	646	3.7	11	20	20	19	20	20	0	323.31	2763900	3431100	2428900	2845000	2564300	2497600	3088800	2695400	2468100	1304300	2055500	3366400	2749800	1919800	2763900	3431100	2428900	2845000	2564300	2497600	3088800	2695400	2468100	1304300	2055500	3366400	2749800	1919800	106	103	104	106	106	102	99	102	99	87	95	106	103	91	4973000000	116				409	643;756;864;894;1614;1790;2339;2360;3064;3388;3389;3536;3957;4480;4481;4601;4609;4973;5075;5402;5661;5744;6188;6226;6611	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	646;758;865;897;1647;1827;2392;2413;3130;3458;3459;3606;4040;4567;4568;4569;4693;4701;5074;5177;5178;5507;5764;5846;6294;6334;6725	1649;1650;1922;1923;1924;1925;1926;1927;1928;1929;2187;2188;2259;2260;2261;2262;2263;4163;4164;4165;4166;4167;4653;4654;4655;4656;4657;6022;6023;6024;6025;6026;6076;6077;6078;6079;6080;7952;7953;7954;7955;8803;8804;8805;8806;8807;8808;8809;8810;8811;9167;10235;11493;11494;11495;11496;11497;11498;11499;11500;11501;11502;11503;11504;11782;11783;11784;11785;11813;11814;12764;12765;12766;12767;12768;13001;13002;13003;13004;13005;13006;13007;13008;13009;13773;13774;13775;13776;14424;14425;14426;14427;14428;14622;14623;14624;14625;14626;15780;15781;15782;15783;15784;15785;15900;15901;15902;15903;15904;16866	1762;1763;2071;2072;2073;2074;2075;2076;2077;2078;2345;2346;2419;2420;2421;2422;2423;4490;4491;4492;4493;4494;5026;5027;5028;5029;5030;6511;6512;6513;6514;6515;6570;6571;6572;6573;6574;8583;8584;8585;8586;9535;9536;9537;9538;9539;9540;9541;9542;9543;9544;9936;11085;12455;12456;12457;12458;12459;12460;12461;12462;12463;12464;12465;12466;12467;12758;12759;12760;12761;12792;12793;13826;13827;13828;13829;13830;14078;14079;14080;14081;14082;14083;14084;14085;14086;14921;14922;14923;14924;14925;14926;14927;15620;15621;15622;15623;15624;15830;15831;15832;15833;15834;15835;17113;17114;17115;17116;17117;17118;17247;17248;17249;17250;17251;18304	1762;2077;2346;2422;4492;5030;6515;6574;8585;9536;9544;9936;11085;12456;12467;12759;12792;13830;14082;14921;15624;15834;17113;17250;18304	259;276;277;278;279;280	61;87;122;237;518;549	9606
P11171	P11171	2	1	1	Protein 4.1	EPB41	sp|P11171|41_HUMAN Protein 4.1 OS=Homo sapiens OX=9606 GN=EPB41 PE=1 SV=4	1	2	1	1	3.8	3	3	97.016	864	864	4				1			0	10.28	1247.2	1687.6	1622	3815.3	3875.2	3120.4	1018.2	3689.8	2830.3	2973.1	3537.2	2042.4	3179.8	2816.5	1247.2	1687.6	1622	3815.3	3875.2	3120.4	1018.2	3689.8	2830.3	2973.1	3537.2	2042.4	3179.8	2816.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4672500	1				410	2754;5621	False;True	2815;5725	7109;7110;7111;14326	7660;7661;7662;15515	7662;15515			9606
P11177	P11177	2	2	2	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	PDHB	sp|P11177|ODPB_HUMAN Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=PDHB PE=1 SV=3	1	2	2	2	8.9	8.9	8.9	39.233	359	359	4.5			1			1	0	4.531	3187.8	3224.8	5601.2	5024.9	4058.9	5429.4	1864.5	3616.1	4038.4	3738.1	3669.7	7524.2	5656.1	7765.2	3187.8	3224.8	5601.2	5024.9	4058.9	5429.4	1864.5	3616.1	4038.4	3738.1	3669.7	7524.2	5656.1	7765.2	1	1	2	1	1	2	1	1	1	1	1	1	2	1	3613100	2				411	900;3435	True;True	903;3505	2279;8931	2439;9688	2439;9688	281	310	9606
P11182	P11182	1	1	1	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial	DBT	sp|P11182|ODB2_HUMAN Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial OS=Homo sapiens OX=9606 GN=DBT PE=1 SV=3	1	1	1	1	1.9	1.9	1.9	53.486	482	482	3		1	1	1			0.002751	2.6071	0	1738.8	2029.5	1548	1093.4	952.93	0	1086.4	1499.8	0	2032.4	4106	1133	2322.7	0	1738.8	2029.5	1548	1093.4	952.93	0	1086.4	1499.8	0	2032.4	4106	1133	2322.7	0	2	2	2	1	1	0	1	1	0	1	2	1	2	1020600	3				412	1543	True	1574	3998;3999;4000	4312;4313;4314	4312			9606
P11216	P11216	2	2	2	Glycogen phosphorylase, brain form	PYGB	sp|P11216|PYGB_HUMAN Glycogen phosphorylase, brain form OS=Homo sapiens OX=9606 GN=PYGB PE=1 SV=5	1	2	2	2	3.6	3.6	3.6	96.695	843	843	2.8	1	1	1	2			0	7.812	66013	67552	69108	95513	80255	83432	70968	95804	75682	99322	104980	74965	93647	82873	66013	67552	69108	95513	80255	83432	70968	95804	75682	99322	104980	74965	93647	82873	5	6	6	6	6	6	6	6	6	5	5	5	5	6	59234000	6				413	2824;4329	True;True	2887;4413	7300;7301;7302;7303;11146	7859;7860;7861;7862;7863;12067	7861;12067			9606
P11217	P11217	3	3	3	Glycogen phosphorylase, muscle form	PYGM	sp|P11217|PYGM_HUMAN Glycogen phosphorylase, muscle form OS=Homo sapiens OX=9606 GN=PYGM PE=1 SV=6	1	3	3	3	4.4	4.4	4.4	97.091	842	842	3.5			2	2			0	6.1826	2349.4	8149.8	4620.7	3574.9	2537.1	3455.6	11996	4762.3	3372.2	2822	1990.5	4589.1	2467.6	8560.8	2349.4	8149.8	4620.7	3574.9	2537.1	3455.6	11996	4762.3	3372.2	2822	1990.5	4589.1	2467.6	8560.8	1	4	2	2	2	2	4	3	3	2	1	1	1	2	10867000	4				414	4323;5683;6377	True;True;True	4407;5786;6488	11135;11136;14475;16285	12055;12056;15672;17679	12056;15672;17679			9606
P11233	P11233	3	3	3	Ras-related protein Ral-A	RALA	sp|P11233|RALA_HUMAN Ras-related protein Ral-A OS=Homo sapiens OX=9606 GN=RALA PE=1 SV=1	1	3	3	3	17	17	17	23.567	206	206	3.43		2	2	2		1	0	67.676	35302	44200	48021	44014	33355	39410	43967	29641	28517	40288	39186	40355	50380	45293	35302	44200	48021	44014	33355	39410	43967	29641	28517	40288	39186	40355	50380	45293	7	7	6	7	7	7	6	5	6	6	7	7	6	7	29011000	7				415	268;1531;5016	True;True;True	268;1562;5118	702;3968;3969;3970;3971;12886;12887	754;4281;4282;4283;4284;13957;13958	754;4284;13958			9606
P11274	P11274	4	4	4	Breakpoint cluster region protein	BCR	sp|P11274|BCR_HUMAN Breakpoint cluster region protein OS=Homo sapiens OX=9606 GN=BCR PE=1 SV=2	1	4	4	4	5.3	5.3	5.3	142.82	1271	1271	5			1	1	1	3	0	11.559	7778.6	9435.6	12111	13178	8318.1	11204	11022	13245	8472.2	11886	16661	12570	10719	15935	7778.6	9435.6	12111	13178	8318.1	11204	11022	13245	8472.2	11886	16661	12570	10719	15935	4	5	7	6	5	4	6	5	5	5	6	6	5	7	24086000	7				416	80;659;5164;5796	True;True;True;True	80;662;5269;5896	184;1687;13224;14738;14739;14740	195;1802;1803;14344;15952;15953;15954	195;1802;14344;15953			9606
P11279	P11279	2	2	2	Lysosome-associated membrane glycoprotein 1	LAMP1	sp|P11279|LAMP1_HUMAN Lysosome-associated membrane glycoprotein 1 OS=Homo sapiens OX=9606 GN=LAMP1 PE=1 SV=3	1	2	2	2	4.8	4.8	4.8	44.882	417	417	2	1	1	1				0	7.8111	55923	130180	106370	132500	58545	140250	99505	92145	100190	56837	104930	78782	183380	62898	55923	130180	106370	132500	58545	140250	99505	92145	100190	56837	104930	78782	183380	62898	3	3	3	3	3	3	3	3	3	3	3	2	3	3	262210000	3				417	490;6207	True;True	491;6314	1249;15849;15850	1338;17192;17193	1338;17192			9606
P11310	P11310	1	1	1	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	ACADM	sp|P11310|ACADM_HUMAN Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADM PE=1 SV=1	1	1	1	1	2.9	2.9	2.9	46.588	421	421	4			1	1	1		0	12.076	1087.9	5976	10036	5388.6	5607.7	5743.7	10294	2842.8	4827.1	4931.8	8181.3	9804.2	9015.3	8632.6	1087.9	5976	10036	5388.6	5607.7	5743.7	10294	2842.8	4827.1	4931.8	8181.3	9804.2	9015.3	8632.6	1	2	3	3	3	3	3	1	2	3	3	3	3	3	5827900	3				418	1628	True	1661	4200;4201;4202	4527;4528;4529	4528			9606
P11441	P11441	5	5	5	Ubiquitin-like protein 4A	UBL4A	sp|P11441|UBL4A_HUMAN Ubiquitin-like protein 4A OS=Homo sapiens OX=9606 GN=UBL4A PE=1 SV=1	1	5	5	5	36.3	36.3	36.3	17.776	157	157	3.45		3	3	3	1	1	0	25.762	141370	87301	122580	153960	144640	104850	101990	150050	106000	69223	100740	135120	141220	184510	141370	87301	122580	153960	144640	104850	101990	150050	106000	69223	100740	135120	141220	184510	12	12	11	12	12	10	11	12	11	11	11	12	11	12	111150000	12				419	1519;2411;4200;4256;6501	True;True;True;True;True	1550;2464;4284;4339;6614	3934;3935;6212;6213;6214;6215;10833;10954;16571;16572;16573	4243;4244;6711;6712;6713;6714;6715;11733;11865;17985;17986;17987	4244;6714;11733;11865;17986	282	151	9606
P11766	P11766	1	1	1	Alcohol dehydrogenase class-3	ADH5	sp|P11766|ADHX_HUMAN Alcohol dehydrogenase class-3 OS=Homo sapiens OX=9606 GN=ADH5 PE=1 SV=4	1	1	1	1	4.3	4.3	4.3	39.724	374	374	3.5			1	1			0	5.3965	2565.3	8657.2	3458.6	4495.1	2180.2	4232.4	5351.5	2921.7	2213.6	2665.2	2415.8	2745.7	1855.5	2275.5	2565.3	8657.2	3458.6	4495.1	2180.2	4232.4	5351.5	2921.7	2213.6	2665.2	2415.8	2745.7	1855.5	2275.5	2	2	1	2	1	1	2	2	1	1	1	1	1	1	2525700	2				420	6289	True	6398	16049;16050	17431;17432	17431			9606
P11940;Q13310;Q9H361;Q4VXU2	P11940	9;4;4;1	9;4;4;1	9;4;4;1	Polyadenylate-binding protein 1	PABPC1	sp|P11940|PABP1_HUMAN Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2	4	9	9	9	17.5	17.5	17.5	70.67	636	636;644;631;614	3.08	4	3		2	2	2	0	37.12	22398	27910	22390	24258	20096	25216	27423	20065	17244	18369	21110	22777	20145	25539	22398	27910	22390	24258	20096	25216	27423	20065	17244	18369	21110	22777	20145	25539	6	6	8	7	7	6	8	7	5	7	8	7	7	7	24660000	13				421	439;1695;1697;2703;2705;3138;4543;5538;6287	True;True;True;True;True;True;True;True;True	440;1728;1730;2764;2766;3205;4633;5642;6396	1119;4381;4382;4387;6981;6986;8168;8169;8170;11629;14128;14129;16046	1202;4719;4720;4725;7525;7530;8825;8826;8827;12594;15305;15306;17428	1202;4720;4725;7525;7530;8826;12594;15306;17428	283	72	9606;9606;9606;9606
P12036	P12036	20	18	18	Neurofilament heavy polypeptide	NEFH	sp|P12036|NFH_HUMAN Neurofilament heavy polypeptide OS=Homo sapiens OX=9606 GN=NEFH PE=1 SV=4	1	20	18	18	23.1	21.2	21.2	112.48	1026	1026	3.92	2	10	10	8	10	11	0	130.38	1086200	596690	607170	727110	673870	660490	154710	958050	822460	1259500	1178700	826220	749200	632310	1086200	596690	607170	727110	673870	660490	154710	958050	822460	1259500	1178700	826220	749200	632310	51	50	50	50	47	50	38	51	51	51	53	50	52	49	1778000000	55				422	583;1604;1606;2059;2304;2321;2326;3185;3219;3612;3860;4365;4939;5260;5268;5519;5615;5729;6173;6177	True;True;True;True;False;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True	586;1637;1639;2103;2356;2374;2379;3252;3287;3684;3940;4448;5039;5367;5375;5623;5719;5831;6279;6283	1474;1475;1476;1477;4144;4146;4147;4148;5358;5359;5360;5361;5937;5938;5939;5940;5987;5988;5995;5996;8275;8355;8356;8357;9367;9985;9986;9987;9988;11252;11253;11254;11255;11256;12665;12666;12667;12668;13433;13445;13446;13447;14083;14084;14085;14086;14087;14316;14317;14318;14583;14584;14585;14586;15743;15744;15745;15746;15747;15757	1577;1578;1579;1580;4469;4471;4472;4473;5801;5802;5803;5804;6423;6424;6425;6426;6475;6476;6483;6484;8949;9039;9040;9041;9042;10151;10810;10811;10812;10813;12190;12191;12192;12193;12194;12195;12196;13721;13722;13723;13724;14564;14577;14578;14579;15260;15261;15262;15263;15264;15503;15504;15505;15787;15788;15789;15790;15791;15792;15793;17070;17071;17072;17073;17074;17087	1580;4469;4472;5802;6425;6475;6483;8949;9042;10151;10812;12194;13722;14564;14578;15263;15503;15790;17073;17087	213;284	255;393	9606
P12081	P12081	1	1	1	Histidine--tRNA ligase, cytoplasmic	HARS	sp|P12081|SYHC_HUMAN Histidine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=HARS PE=1 SV=2	1	1	1	1	2.4	2.4	2.4	57.41	509	509	4.33			1	1		1	0	13.444	3842	6030.4	5681.1	4259.9	5499.1	5646	1825.4	4408	4569.1	6067.2	4833.9	5165.2	6022.9	7328.4	3842	6030.4	5681.1	4259.9	5499.1	5646	1825.4	4408	4569.1	6067.2	4833.9	5165.2	6022.9	7328.4	2	3	3	2	2	3	2	2	2	3	2	2	3	3	3974000	3				423	652	True	655	1664;1665;1666	1779;1780;1781	1781			9606
P12277	P12277	11	11	11	Creatine kinase B-type	CKB	sp|P12277|KCRB_HUMAN Creatine kinase B-type OS=Homo sapiens OX=9606 GN=CKB PE=1 SV=1	1	11	11	11	36.5	36.5	36.5	42.644	381	381	4.15	1	10	12	19	16	15	0	323.31	1756400	1464100	1314900	1173800	1218800	567020	1310900	1440900	625680	678710	829880	785820	648800	1745600	1756400	1464100	1314900	1173800	1218800	567020	1310900	1440900	625680	678710	829880	785820	648800	1745600	77	69	71	67	68	61	69	73	56	63	65	60	61	77	4397800000	85				424	1116;2435;3060;3772;3863;4034;5097;5905;5961;6520;6521	True;True;True;True;True;True;True;True;True;True;True	1126;2489;3126;3848;3943;3944;4117;5201;6004;6061;6633;6634	2811;2812;2813;2814;2815;2816;2817;2818;2819;2820;2821;6269;6270;7937;7938;7939;7940;7941;7942;7943;9747;9748;9749;9750;9751;9752;9753;9754;9755;9756;9994;9995;9996;9997;9998;9999;10000;10001;10002;10003;10004;10005;10406;10407;10408;13063;13064;13065;13066;13067;13068;13069;13070;13071;13072;13073;15049;15050;15051;15052;15179;15180;15181;15182;15183;15184;15185;16634;16635;16636;16637;16638;16639	3020;3021;3022;3023;3024;3025;3026;3027;3028;3029;3030;6771;6772;8566;8567;8568;8569;8570;8571;8572;8573;8574;10556;10557;10558;10559;10560;10561;10562;10563;10564;10565;10566;10567;10820;10821;10822;10823;10824;10825;10826;10827;10828;10829;10830;10831;10832;10833;10834;11271;11272;11273;11274;14145;14146;14147;14148;14149;14150;14151;14152;14153;14154;14155;14156;14157;16295;16296;16297;16298;16299;16432;16433;16434;16435;16436;16437;16438;16439;18050;18051;18052;18053;18054;18055	3023;6772;8566;10562;10830;11273;14148;16296;16437;18051;18055	285;286;287	30;363;377	9606
P12532;P17540	P12532	5;1	5;1	5;1	Creatine kinase U-type, mitochondrial	CKMT1A	sp|P12532|KCRU_HUMAN Creatine kinase U-type, mitochondrial OS=Homo sapiens OX=9606 GN=CKMT1A PE=1 SV=1	2	5	5	5	13.4	13.4	13.4	47.036	417	417;419	3.94	1	2	4	4	4	3	0	182.49	59521	99355	49238	72805	51048	36460	14017	26422	24601	38714	23839	69394	36546	49864	59521	99355	49238	72805	51048	36460	14017	26422	24601	38714	23839	69394	36546	49864	18	18	16	18	17	14	9	13	14	14	13	16	15	17	97862000	22				425	3059;3130;4348;5096;5395	True;True;True;True;True	3125;3197;4432;5200;5500	7932;7933;7934;7935;7936;8153;11196;11197;11198;11199;11200;13060;13061;13062;13759;13760;13761;13762	8561;8562;8563;8564;8565;8810;12122;12123;12124;12125;12126;12127;12128;12129;14141;14142;14143;14144;14907;14908;14909;14910	8563;8810;12127;14143;14908	288	305	9606;9606
P12931	P12931	1	1	1	Proto-oncogene tyrosine-protein kinase Src	SRC	sp|P12931|SRC_HUMAN Proto-oncogene tyrosine-protein kinase Src OS=Homo sapiens OX=9606 GN=SRC PE=1 SV=3	1	1	1	1	2.6	2.6	2.6	59.834	536	536	1	1						0	9.2401	1615.7	1393.3	1362.7	1641.2	0	1180.3	0	1330	0	1859.1	2496.9	1477	1286.2	1482	1615.7	1393.3	1362.7	1641.2	0	1180.3	0	1330	0	1859.1	2496.9	1477	1286.2	1482	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1989900	1				426	2938	True	3003	7623	8230	8230			9606
P12956	P12956	1	1	1	X-ray repair cross-complementing protein 6	XRCC6	sp|P12956|XRCC6_HUMAN X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6 PE=1 SV=2	1	1	1	1	1.5	1.5	1.5	69.842	609	609	4			1	1	1		0.0027643	2.6446	10385	6453.7	34510	9922.4	22277	14592	20420	19687	14828	22101	27758	67122	21412	46668	10385	6453.7	34510	9922.4	22277	14592	20420	19687	14828	22101	27758	67122	21412	46668	3	3	3	3	3	3	3	3	3	3	3	3	2	3	37361000	3				427	6376	True	6487	16282;16283;16284	17676;17677;17678	17676			9606
P13073	P13073	2	2	2	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial	COX4I1	sp|P13073|COX41_HUMAN Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Homo sapiens OX=9606 GN=COX4I1 PE=1 SV=1	1	2	2	2	13	13	13	19.576	169	169	3.67			2		1		0	9.1225	17264	25089	17806	23473	15426	21294	12338	18001	18805	24860	18835	25344	20898	19831	17264	25089	17806	23473	15426	21294	12338	18001	18805	24860	18835	25344	20898	19831	3	3	3	3	3	3	2	2	3	3	3	3	3	3	32775000	3				428	715;1042	True;True	717;1050	1818;1819;2662	1958;1959;2859	1959;2859	289	75	9606
P13489	P13489	1	1	1	Ribonuclease inhibitor	RNH1	sp|P13489|RINI_HUMAN Ribonuclease inhibitor OS=Homo sapiens OX=9606 GN=RNH1 PE=1 SV=2	1	1	1	1	3.3	3.3	3.3	49.973	461	461	4				1			0.0021142	2.7985	0	891.81	1001	917.55	790.98	0	0	0	939.95	0	0	0	1187	1638.4	0	891.81	1001	917.55	790.98	0	0	0	939.95	0	0	0	1187	1638.4	0	1	1	1	1	0	0	0	1	0	0	0	1	1	2253400	1				429	1932	True	1973	5043	5449	5449			9606
